Kiosk ID,Kiosk Name,Region ,Status
4605,Mariota & Riverside,North Hollywood,Active
4606,North Hollywood Station,North Hollywood,Active
4613,Gateway Plaza,Westside,Active
4614,Perloff Hall,Westside,Active
4514,Purdue & Santa Monica,Westside,Active
4623,CicLAvia South LA – Exposition Hub,DTLA,Inactive
4624,CicLAvia South LA – Florence Hub,DTLA,Inactive
4625,CicLAvia South LA – Exposition Hub,DTLA,Inactive
4626,CicLAvia South LA – Florence Hub,DTLA,Inactive
4627,Argyle & Hollywood,DTLA,Active
4629,CicLavia West Hollywood Hub,DTLA,Inactive
4631,CicLavia West Hollywood Hub,DTLA,Inactive
4632,Maxella & Glencoe,Westside,Active
4244,Expo Park/USC Station,DTLA,Inactive
4628,7th & Westmoreland,DTLA,Active
4633,CicLAvia - Echo Park Hub,DTLA,Inactive
4634,CicLAvia - Mariachi Plaza Hub,DTLA,Inactive
4638,CicLAvia South LA - Historic South-Central Hub,DTLA,Inactive
4635,CicLAvia - Echo Park Hub,DTLA,Inactive
4636,CicLAvia - Mariachi Plaza Hub,DTLA,Inactive
4639,CicLAvia South LA - Watts Hub,DTLA,Inactive
4643,Drake Stadium,Westside,Active
4644,Weyburn Terrace,Westside,Active
4645,University Village (Sawtelle Blvd),Westside,Active
4646,CicLavia Mid City Hub,DTLA,Inactive
4647,CicLavia Pico Union Hub,DTLA,Inactive
4648,CicLAvia Mid City Hub,DTLA,Inactive
4649,CicLavia Pico Union Hub,DTLA,Inactive
4650,CicLAmini Watts,DTLA,Inactive
4651,CicLAmini Watts,DTLA,Inactive
4652,Arizona Ave & 16th St,Westside,Active
4654,Culver City Pride Ride,Westside,Inactive
4655,CicLAvia South LA - Westmont Hub,DTLA,Inactive
4656,CicLAvia South LA - Westmont Hub,DTLA,Inactive
4660,Venice & Walgrove,Westside,Active
4661,CicLAvia South LA - Historic South Central,DTLA,Inactive
4662,CicLAvia South LA - Leimert Park,DTLA,Inactive
4663,CicLAvia South LA - Historic South Central,DTLA,Inactive
4664,Koreatown Plaza,DTLA,Active
4665,Gateway Plaza,Westside,Active
4667,Ciclavia Melrose - Fairfax Hub,Westside,Inactive
4668,Ciclavia Melrose - Fairfax Hub,Westside,Inactive
4669,Broadway & 7th,DTLA,Inactive
4670,CicLAvia Venice - National,Westside,Inactive
4671,CicLAvia Venice - National,Westside,Inactive
4672,7th & Broadway,DTLA,Active
4675,CicLAvia South LA - Century Hub,DTLA,Inactive
4676,CicLAvia South LA – Century Hub,DTLA,Inactive
4678,CicLAvia South LA - Exposition Hub,DTLA,Inactive
4680,Broadway & 8th,DTLA,Active
4682,CicLAvia Meet the Hollywood's - West Hollywood Hub,N/A,Active
4684,CicLAmini Lincoln Heights Ave 18 Hub,DTLA,Inactive
4686,Chinatown Hub - cicLAvia Heart of LA 2024,DTLA,Inactive
4687,Evergreen Hub - cicLAvia Heart of LA 2024,DTLA,Inactive
4689,University Village (Sepulveda Blvd),Westside,Active
4690,Vineland & Burbank,North Hollywood,Active
4691,CicLAvia West Adams Meets University Park - West Adams Hub,Westside,Inactive
4692,CicLAvia West Adams Meets University Park - West Adams Hub,Westside,Inactive
